Feature ID,RNS - RNSA - Expression values,RNS - RNSB - Expression values,RNS - RNSC - Expression values,RS - SRAB - Expression values,RS - SRB - Expression values,RS - SRC - Expression values
Medtr0001s0010,1,1,0,0,0,0
Medtr0001s0070,0,0,0,0,0,0
Medtr0001s0100,0,0,0,0,0,0
Medtr0001s0120,0,1,1,0,0,2
Medtr0001s0160,0,0,0,0,0,0
Medtr0001s0190,0,0,0,0,0,0
Medtr0001s0200,0,0,0,0,0,0
Medtr0001s0260,0,0,0,0,0,0
Medtr0001s0360,0,0,0,0,0,0
Medtr0001s0380,0,0,0,0,0,0
Medtr0001s0430,307,346,326,294,313,390
Medtr0001s0480,0,0,0,0,0,0
Medtr0001s0490,308,526,413,313,509,366
Medtr0001s0500,0,0,0,0,0,0
Medtr0001s0510,0,0,0,0,0,0
Medtr0001s0560,23,19,19,35,11,20
Medtr0001s0570,549,643,576,485,560,591
Medtr0001s0580,0,0,0,0,0,0
Medtr0001s0660,1359,1008,1077,2129,659,708
Medtr0001s0700,0,0,0,0,0,0
Medtr0002s0020,223,352,270,268,292,303
Medtr0002s0030,0,0,0,0,0,0
Medtr0002s0040,0,0,0,0,0,0
Medtr0002s0050,0,0,0,0,0,0
Medtr0002s0070,0,0,0,0,0,0
Medtr0002s0090,0,0,0,0,0,0
Medtr0002s0100,0,0,0,0,0,0
Medtr0002s0110,0,0,0,0,0,0
Medtr0002s0120,0,0,0,0,0,0
Medtr0002s0140,0,0,0,0,0,0
Medtr0002s0150,0,0,0,0,0,0
Medtr0002s0160,0,0,0,0,0,0
Medtr0002s0170,0,0,0,0,0,0
Medtr0002s0180,0,0,0,0,0,0
Medtr0002s0200,0,0,0,0,0,0
Medtr0002s0210,0,0,0,0,0,0
Medtr0002s0250,0,0,0,0,0,0
Medtr0002s0260,0,0,0,0,0,0
Medtr0002s0270,0,1,0,0,0,0
Medtr0002s0280,0,0,0,0,0,0
Medtr0002s0300,0,0,0,0,0,0
Medtr0002s0310,0,0,0,0,0,0
Medtr0002s0330,0,0,0,0,0,0
Medtr0002s0350,0,0,0,0,0,0
Medtr0002s0360,0,0,0,0,0,0
Medtr0002s0380,0,0,0,0,0,0
Medtr0002s0390,0,0,0,0,0,0
Medtr0002s0420,0,0,0,0,0,0
Medtr0002s0440,0,0,0,0,0,0
Medtr0002s0510,0,0,0,0,0,0
Medtr0002s0530,0,0,0,0,0,0
Medtr0002s0540,0,0,0,0,0,0
Medtr0002s0550,0,0,0,0,0,0
Medtr0002s0580,0,0,0,0,0,0
Medtr0002s0590,0,0,0,0,0,0
Medtr0002s0630,0,0,0,0,0,0
Medtr0002s0650,0,0,0,0,0,0
Medtr0002s0660,0,0,0,0,0,0
Medtr0002s0670,0,0,0,0,0,0
Medtr0002s0680,0,0,0,0,0,0
Medtr0002s0690,0,0,0,0,0,0
Medtr0002s0700,0,0,0,0,0,0
Medtr0002s0730,0,0,0,0,0,0
Medtr0002s0740,0,0,0,0,0,0
Medtr0002s0750,0,0,0,0,0,0
Medtr0002s0760,0,0,0,0,0,0
Medtr0002s0770,0,0,0,0,0,0
Medtr0002s0780,0,0,0,0,0,0
